Company,Position,Connected On
WomenTech Network,Global Ambassador ,20-Dec-20
Promize IT Services Private Limited,Full stack Developer,20-Dec-20
Zliq,Chief Technical Officer,20-Dec-20
TechnipFMC,Process Engineer,20-Dec-20
BidBuddyapp,Lead UI/UX Designer and Co-Founder ,20-Dec-20
Anand Engineering College(SGI),Student,20-Dec-20
Teachomatrix Pvt Ltd.,Co-Founder,20-Dec-20
Auribises Technologies Pvt Ltd,Intern,20-Dec-20
Core Compete,Cloud Engineer,20-Dec-20
Goldman Sachs,Summer Analyst,20-Dec-20
Ciena,Senior Software Engineer,20-Dec-20
Diyar United Company,Software Engineer,20-Dec-20
Grofers,Software Development Engineer - 1,20-Dec-20
IBM,Workday Consultant,20-Dec-20
MASTER MIND CONSULTANCY,Founder & CEO,20-Dec-20
ITC Infotech,Associate IT Consultant,20-Dec-20
,,20-Dec-20
AkMan Wellness Pvt Ltd,Wellness Consultant,20-Dec-20
Arm,Intern,20-Dec-20
,,20-Dec-20
PR GLOLINKS,Global recruiter,20-Dec-20
StackAbuse,Technical Writer - JavaScript,20-Dec-20
PMC Specialist Recruitment Solutions,Principal Consultant,20-Dec-20
Wells Fargo,Apps Programmer/ Analyst 2,20-Dec-20
,,20-Dec-20
Sears Holdings India,Senior Associate,20-Dec-20
Wipro Limited,NLP Engineer,20-Dec-20
Legato Health Technologies,Software Engineer,20-Dec-20
Google,Google Developers Group Member,20-Dec-20
Accenture,Application Development Analyst,20-Dec-20
Microsoft,Applied Machine Learning Engineer,19-Dec-20
Women LEAD Nepal,Young Women's Political Leadership Institute Fellow 2020,13-Dec-20
Microsoft,Technical Sourcing Recruiter,9-Dec-20
Shell,Data Science CoE - Shell.ai Manager,2-Dec-20
IBM,Director Data Science & AI Elite,2-Dec-20
Bloomberg LP,Software Engineer,30-Nov-20
ZS,Data Science Manager,29-Nov-20
Shell,"Researcher, Data Science",29-Nov-20
LinkedIn,Data Science Manager,29-Nov-20
BRIDGEi2i Analytics Solutions,Manager -Service Delivery -Insurance ,29-Nov-20
JPMorgan Chase & Co.,Senior Associate,20-Nov-20
LD Talent,Founder,18-Nov-20
KPMG Global Services (KGS),Consultant,18-Nov-20
FICO,Integration Engineer,18-Nov-20
,,18-Nov-20
inflo communications,Marketing Communications Intern,18-Nov-20
Center for Medical Genetics,Trainee,18-Nov-20
Games24x7,SDE-1,18-Nov-20
Damacloid Technologies pvt ltd,Software Developer,18-Nov-20
"Freelance, self-employed",Mern stack developer,18-Nov-20
Tata Consultancy Services Limited,Software Engineer,18-Nov-20
independent consultant,Health And Wellness Coach,18-Nov-20
Appirio,Consultant,18-Nov-20
Tata Consultancy Services,Machine Learning Engineer,18-Nov-20
Cerner Corporation,Software Engineer Intern,18-Nov-20
United States Postal Service HQ Eng,Principal Database Administrator,18-Nov-20
CobbleApps,Founder,18-Nov-20
Citi,Recruitment Specialist,18-Nov-20
TeamAutoZ,Robotics Engineer,18-Nov-20
We Define Net,Student influencer,18-Nov-20
,,18-Nov-20
,,18-Nov-20
IEEE SB CET,IEEE Brand Ambassador ,18-Nov-20
Bharat Electronics,Internship,18-Nov-20
Infosys,System Engineer Specialist,18-Nov-20
,,18-Nov-20
JPMorgan Chase & Co.,Software Engineer,18-Nov-20
GitHub,GitHub Campus Expert,18-Nov-20
Space Foundation,Chief Operating Officer,18-Nov-20
Shell,Software Engineer,12-Nov-20
