Endorsement Date,Skill Name
2020/10/28 16:15:30 UTC,Salesforce Field Service Lightning
2020/10/28 16:15:28 UTC,Teamwork
2020/10/28 16:15:24 UTC,Public Speaking
2020/10/28 16:15:21 UTC,Customer Service
2020/10/28 16:15:18 UTC,React.js
2020/10/28 16:15:17 UTC,Microsoft Office
2020/10/28 16:15:16 UTC,MATLAB
2020/10/28 16:15:12 UTC,JavaScript
2020/10/28 16:15:10 UTC,Microsoft Power BI
2020/10/28 16:15:09 UTC,Microsoft Azure
2020/10/28 16:15:07 UTC,LaTeX
2020/10/28 16:15:06 UTC,Unity
2020/10/28 16:15:05 UTC,C (Programming Language)
2020/10/28 16:15:03 UTC,HTML
2020/10/28 16:15:01 UTC,PowerPoint
2020/10/28 16:15:00 UTC,PHP
2020/10/28 16:14:57 UTC,Microsoft PowerPoint
2020/10/28 16:14:56 UTC,HTML5
2020/10/28 16:14:54 UTC,Matlab
2020/10/28 16:14:51 UTC,Cascading Style Sheets (CSS)
2020/10/28 16:14:48 UTC,C++
2020/10/28 16:14:45 UTC,C
2020/10/28 16:14:43 UTC,CSS
2020/10/28 16:14:40 UTC,Project Management
2020/10/28 16:14:38 UTC,Machine Learning
2020/10/28 16:14:36 UTC,Data Visualization
2020/10/28 16:14:34 UTC,Web Design
2020/10/28 16:14:33 UTC,Business Strategy
2020/10/28 16:14:31 UTC,Strategic Planning
2020/10/28 16:14:28 UTC,Public Relations
2020/10/28 16:14:27 UTC,Digital Marketing
2020/10/28 16:14:24 UTC,Research
2020/10/28 16:14:19 UTC,Android Development
2020/10/28 16:14:17 UTC,Web Development
2020/10/28 16:14:14 UTC,Python (Programming Language)
2020/09/26 06:44:06 UTC,Web Development
2020/08/08 17:33:03 UTC,Project Management
2020/08/08 17:33:00 UTC,Data Visualization
2020/08/08 17:32:54 UTC,Machine Learning
2020/08/08 17:32:45 UTC,Strategic Planning
2020/08/08 17:32:40 UTC,Business Strategy
2020/08/08 17:32:32 UTC,Web Design
2020/08/08 17:32:24 UTC,Public Relations
2020/08/08 17:32:17 UTC,Digital Marketing
2020/08/08 17:32:09 UTC,Research
2020/08/08 17:32:06 UTC,Android Development
2020/08/08 17:31:57 UTC,Python (Programming Language)
2020/08/08 17:31:53 UTC,Web Development
2020/07/28 03:05:09 UTC,Microsoft Office
2020/07/08 11:39:01 UTC,MATLAB
2020/07/08 11:39:00 UTC,Microsoft Office
2020/06/08 09:47:35 UTC,MATLAB
2020/05/22 08:57:24 UTC,Teamwork
2020/05/22 08:57:11 UTC,Python (Programming Language)
2020/05/22 08:57:05 UTC,Web Development
2020/05/17 06:00:55 UTC,Microsoft Office
2020/05/13 06:09:28 UTC,C (Programming Language)
2020/05/12 12:34:10 UTC,Microsoft Office
2020/05/11 09:30:01 UTC,Public Speaking
2020/05/11 09:30:01 UTC,Teamwork
2020/05/11 09:29:58 UTC,Salesforce Field Service Lightning
2020/05/11 09:29:57 UTC,Customer Service
2020/05/11 09:29:54 UTC,C++
2020/05/11 09:29:52 UTC,Matlab
2020/05/11 09:29:52 UTC,CSS
2020/05/11 09:29:49 UTC,HTML5
2020/05/11 09:29:47 UTC,C
2020/05/11 09:29:45 UTC,Cascading Style Sheets (CSS)
2020/05/11 09:29:44 UTC,Microsoft PowerPoint
2020/05/11 09:29:43 UTC,HTML
2020/05/11 09:29:42 UTC,PowerPoint
2020/05/11 09:29:41 UTC,PHP
2020/05/11 09:29:40 UTC,Unity
2020/05/11 09:29:38 UTC,LaTeX
2020/05/11 09:29:37 UTC,JavaScript
2020/05/11 09:29:36 UTC,C (Programming Language)
2020/05/11 09:29:36 UTC,Microsoft Power BI
2020/05/11 09:29:32 UTC,React.js
2020/05/11 09:29:31 UTC,Microsoft Azure
2020/05/11 09:29:29 UTC,Research
2020/05/11 09:29:29 UTC,Public Relations
2020/05/11 09:29:27 UTC,Business Strategy
2020/05/11 09:29:25 UTC,Digital Marketing
2020/05/11 09:29:24 UTC,Web Design
2020/05/11 09:29:22 UTC,Strategic Planning
2020/05/11 09:29:22 UTC,Data Visualization
2020/05/11 09:29:20 UTC,Machine Learning
2020/05/11 09:29:20 UTC,Project Management
2020/05/11 09:29:16 UTC,Python (Programming Language)
2020/05/11 09:29:16 UTC,Web Development
2020/05/11 09:29:16 UTC,Android Development
2020/05/11 02:07:41 UTC,Public Speaking
2020/05/11 02:07:41 UTC,Salesforce Field Service Lightning
2020/05/11 02:07:41 UTC,Teamwork
2020/05/11 02:07:41 UTC,Customer Service
2020/05/11 02:07:41 UTC,React.js
2020/05/11 02:07:41 UTC,Microsoft Azure
2020/05/11 02:07:41 UTC,Microsoft Power BI
2020/05/11 02:07:41 UTC,JavaScript
2020/05/11 02:07:40 UTC,PHP
2020/05/11 02:07:40 UTC,Microsoft PowerPoint
2020/05/11 02:07:40 UTC,HTML
2020/05/11 02:07:40 UTC,Unity
2020/05/11 02:07:40 UTC,PowerPoint
2020/05/11 02:07:40 UTC,Cascading Style Sheets (CSS)
2020/05/11 02:07:40 UTC,HTML5
2020/05/11 02:07:40 UTC,CSS
2020/05/11 02:07:40 UTC,C (Programming Language)
2020/05/11 02:07:40 UTC,Matlab
2020/05/11 02:07:40 UTC,LaTeX
2020/05/11 02:07:39 UTC,Web Design
2020/05/11 02:07:39 UTC,Public Relations
2020/05/11 02:07:39 UTC,Strategic Planning
