Sent At,Direction
"12/23/20, 8:13 AM",OUTGOING
"12/23/20, 8:10 AM",OUTGOING
"12/22/20, 9:13 AM",OUTGOING
"12/19/20, 4:39 AM",OUTGOING
"11/29/20, 2:00 AM",OUTGOING
"11/29/20, 1:59 AM",OUTGOING
"11/29/20, 1:59 AM",OUTGOING
"11/29/20, 1:58 AM",OUTGOING
"11/29/20, 1:58 AM",OUTGOING
"11/24/20, 7:45 PM",OUTGOING
"11/21/20, 8:32 AM",OUTGOING
"11/19/20, 11:10 PM",OUTGOING
"10/26/20, 8:01 PM",OUTGOING
"10/26/20, 7:59 PM",OUTGOING
"10/20/20, 10:09 AM",OUTGOING
"10/20/20, 10:06 AM",OUTGOING
"10/20/20, 8:40 AM",OUTGOING
"10/20/20, 8:38 AM",OUTGOING
"10/20/20, 12:24 AM",OUTGOING
"10/19/20, 9:37 PM",OUTGOING
"10/19/20, 9:34 PM",OUTGOING
"10/19/20, 9:34 PM",OUTGOING
"9/24/20, 8:35 PM",OUTGOING
"9/17/20, 5:41 AM",OUTGOING
"9/16/20, 12:11 PM",OUTGOING
"9/16/20, 12:10 PM",OUTGOING
"8/23/20, 4:53 AM",OUTGOING
"8/22/20, 9:11 PM",OUTGOING
"8/12/20, 8:08 AM",OUTGOING
"8/6/20, 9:13 AM",OUTGOING
"8/6/20, 8:37 AM",OUTGOING
"8/6/20, 7:06 AM",OUTGOING
"8/6/20, 4:26 AM",OUTGOING
"8/5/20, 7:59 AM",OUTGOING
"8/4/20, 8:45 PM",OUTGOING
"8/4/20, 12:26 PM",OUTGOING
"8/4/20, 11:29 AM",OUTGOING
"8/4/20, 11:28 AM",OUTGOING
"8/4/20, 11:27 AM",OUTGOING
"8/4/20, 11:25 AM",OUTGOING
"8/4/20, 11:25 AM",OUTGOING
"8/4/20, 11:25 AM",OUTGOING
"8/4/20, 11:24 AM",OUTGOING
"8/4/20, 11:24 AM",OUTGOING
"8/4/20, 11:17 AM",OUTGOING
"8/4/20, 11:16 AM",OUTGOING
"8/4/20, 11:15 AM",OUTGOING
"8/4/20, 11:13 AM",OUTGOING
"8/1/20, 10:38 AM",OUTGOING
"7/30/20, 7:37 PM",OUTGOING
"7/27/20, 8:41 AM",OUTGOING
"7/22/20, 6:32 PM",OUTGOING
"7/22/20, 6:32 PM",OUTGOING
"7/18/20, 7:51 AM",OUTGOING
"7/15/20, 7:29 AM",OUTGOING
"7/10/20, 8:16 PM",OUTGOING
"7/9/20, 2:09 AM",OUTGOING
"6/27/20, 8:29 PM",OUTGOING
"6/27/20, 6:27 AM",OUTGOING
"6/27/20, 6:27 AM",OUTGOING
"6/27/20, 6:22 AM",OUTGOING
"6/27/20, 6:21 AM",OUTGOING
"6/27/20, 6:21 AM",OUTGOING
"6/27/20, 6:21 AM",OUTGOING
"6/27/20, 6:21 AM",OUTGOING
"6/27/20, 6:21 AM",OUTGOING
"6/27/20, 6:21 AM",OUTGOING
"6/19/20, 5:51 PM",OUTGOING
"5/19/20, 5:47 AM",OUTGOING
"5/4/20, 9:29 AM",OUTGOING
"4/23/20, 11:05 AM",OUTGOING
"4/9/20, 8:12 AM",OUTGOING
"1/28/20, 3:07 AM",OUTGOING
"12/24/20, 12:33 AM",INCOMING
"12/23/20, 7:02 PM",INCOMING
"12/22/20, 4:11 AM",INCOMING
"12/21/20, 9:03 PM",INCOMING
"12/21/20, 6:55 AM",INCOMING
"12/20/20, 10:30 AM",INCOMING
"12/19/20, 11:10 PM",INCOMING
"12/19/20, 6:39 PM",INCOMING
"12/14/20, 8:17 PM",INCOMING
"12/12/20, 11:59 PM",INCOMING
"12/11/20, 5:48 AM",INCOMING
"12/9/20, 4:02 AM",INCOMING
"12/8/20, 8:08 AM",INCOMING
"12/5/20, 10:56 AM",INCOMING
"12/4/20, 8:46 AM",INCOMING
"11/29/20, 2:27 AM",INCOMING
"11/28/20, 8:39 PM",INCOMING
"11/28/20, 12:41 PM",INCOMING
"11/26/20, 1:22 AM",INCOMING
"11/25/20, 11:18 PM",INCOMING
"11/25/20, 7:58 PM",INCOMING
"11/24/20, 4:30 AM",INCOMING
"11/24/20, 1:05 AM",INCOMING
"11/21/20, 12:47 PM",INCOMING
"11/20/20, 8:53 PM",INCOMING
